"Huc6_Vahu6","FDT_SPG_CODE","nObservations","yearsSampled","nYearsSampled","n_Samples_2011","n_Samples_2012","n_Samples_2013","n_Samples_2014","n_Samples_2015","n_Samples_2016","n_Samples_2017","n_Samples_2018","n_Samples_2015_2018","n_Samples_IR2018","n_Samples_IR2020","n_Samples_IR2022"
"RL12","AW, TM, TR",76,"2011, 2012, 2013, 2014, 2015, 2016",6,"7 : AW | 14 : TR","6 : AW | 13 : TR","6 : TM | 6 : TR","6 : TM | 6 : TR","6 : TR","6 : TR",NA,NA,"TR: 12 | Total: 12","AW: 13 | TR: 51 | TM: 12 | Total: 76","TM: 12 | TR: 24 | Total: 36","TR: 12 | Total: 12"
"RL13","AW, RL",69,"2014, 2013",2,NA,NA,"27 : RL","12 : AW | 30 : RL",NA,NA,NA,NA,NA,"RL: 57 | AW: 12 | Total: 69","RL: 57 | AW: 12 | Total: 69",NA
"RL14","TR, RB, FP, RL",190,"2011, 2012, 2013, 2014, 2015, 2016",6,"4 : RB | 7 : TR","1 : FP | 49 : RL | 6 : TR","6 : TR","49 : RL | 6 : TR","6 : TR","50 : RL | 6 : TR",NA,NA,"TR: 12 | RL: 50 | Total: 62","RB: 4 | TR: 37 | FP: 1 | RL: 148 | Total: 190","TR: 24 | RL: 99 | Total: 123","TR: 12 | RL: 50 | Total: 62"
"RL16","AW, TM",25,"2011, 2012, 2013, 2014",4,"7 : AW","6 : AW","6 : TM","6 : TM",NA,NA,NA,NA,NA,"AW: 13 | TM: 12 | Total: 25","TM: 12 | Total: 12",NA
"RL18","AW, RB, RL",331,"2011, 2012, 2014, 2016",4,"7 : AW","6 : AW | 113 : RL",NA,"2 : RB | 112 : RL",NA,"91 : RL",NA,NA,"RL: 91 | Total: 91","AW: 13 | RL: 316 | RB: 2 | Total: 331","RB: 2 | RL: 203 | Total: 205","RL: 91 | Total: 91"
"RU01","RB, AW",14,"2011, 2015",2,"2 : RB",NA,NA,NA,"12 : AW",NA,NA,NA,"AW: 12 | Total: 12","RB: 2 | AW: 12 | Total: 14","AW: 12 | Total: 12","AW: 12 | Total: 12"
"RU02","PA, FP, RB",29,"2014, 2015, 2017, 2018",4,NA,NA,NA,"3 : FP | 14 : PA","4 : RB",NA,"4 : RB","4 : RB","RB: 12 | Total: 12","FP: 3 | PA: 14 | RB: 4 | Total: 21","FP: 3 | PA: 14 | RB: 12 | Total: 29","RB: 12 | Total: 12"
"RU03","AW",12,"2016",1,NA,NA,NA,NA,NA,"12 : AW",NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12"
"RU04","AW, QA, RB",26,"2011, 2012, 2017",3,"4 : AW | 2 : QA","6 : AW | 2 : RB",NA,NA,NA,NA,"12 : AW",NA,"AW: 12 | Total: 12","AW: 10 | QA: 2 | RB: 2 | Total: 14","AW: 12 | Total: 12","AW: 12 | Total: 12"
"RU05","AW",12,"2014",1,NA,NA,NA,"12 : AW",NA,NA,NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"RU06","RB, AW, QA, FP",28,"2012, 2013, 2015",3,NA,"2 : RB","12 : AW | 2 : FP",NA,"11 : AW | 1 : QA",NA,NA,NA,"AW: 11 | QA: 1 | Total: 12","RB: 2 | AW: 23 | FP: 2 | QA: 1 | Total: 28","AW: 23 | FP: 2 | QA: 1 | Total: 26","AW: 11 | QA: 1 | Total: 12"
"RU07","TR",47,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","5 : TR","TR: 23 | Total: 23","TR: 36 | Total: 36","TR: 35 | Total: 35","TR: 23 | Total: 23"
"RU08","AW",12,"2013",1,NA,NA,"12 : AW",NA,NA,NA,NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"RU09","RB, TR",57,"2012, 2011, 2013, 2014, 2015, 2016, 2017, 2018",8,"6 : TR","6 : RB | 6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","2 : RB | 6 : TR","2 : RB | 5 : TR","TR: 23 | RB: 4 | Total: 27","TR: 36 | RB: 6 | Total: 42","TR: 35 | RB: 4 | Total: 39","TR: 23 | RB: 4 | Total: 27"
"RU10","FP, RB, AW, QA",20,"2012, 2013, 2015",3,NA,"3 : FP","2 : RB",NA,"14 : AW | 1 : QA",NA,NA,NA,"AW: 14 | QA: 1 | Total: 15","FP: 3 | RB: 2 | AW: 14 | QA: 1 | Total: 20","RB: 2 | AW: 14 | QA: 1 | Total: 17","AW: 14 | QA: 1 | Total: 15"
"RU11","TM, RB, AW, QA, PT",56,"2015, 2016, 2011, 2012, 2017, 2018",6,"5 : AW | 1 : QA","4 : AW | 2 : QA",NA,NA,"2 : RB | 8 : TM","12 : TM","12 : AW | 8 : TM","2 : PT","RB: 2 | TM: 28 | AW: 12 | PT: 2 | Total: 44","AW: 9 | QA: 3 | RB: 2 | TM: 20 | Total: 34","RB: 2 | TM: 28 | AW: 12 | PT: 2 | Total: 44","RB: 2 | TM: 28 | AW: 12 | PT: 2 | Total: 44"
"RU12","PA, QA, FP, AW, RL, RB, TM, PT",625,"2015, 2011, 2012, 2016, 2017, 2018",6,"147 : AW","2 : RB | 151 : RL",NA,NA,"3 : FP | 11 : PA | 2 : QA | 2 : RB | 8 : TM","1 : FP | 1 : PA | 2 : PT | 8 : TM","3 : AW | 140 : RL","144 : RL","FP: 4 | PA: 12 | QA: 2 | RB: 2 | TM: 16 | PT: 2 | AW: 3 | RL: 284 | Total: 325","AW: 147 | RB: 4 | RL: 151 | FP: 4 | PA: 12 | QA: 2 | TM: 16 | PT: 2 | Total: 338","FP: 4 | PA: 12 | QA: 2 | RB: 2 | TM: 16 | PT: 2 | AW: 3 | RL: 284 | Total: 325","FP: 4 | PA: 12 | QA: 2 | RB: 2 | TM: 16 | PT: 2 | AW: 3 | RL: 284 | Total: 325"
"RU13","TM, TR, QA, RB",80,"2015, 2016, 2011, 2012, 2013, 2014, 2017, 2018",8,"6 : TR","1 : QA | 5 : TR","6 : TR","7 : TR","2 : RB | 7 : TM | 7 : TR","8 : TM | 6 : TR","8 : TM | 6 : TR","1 : RB | 10 : TR","RB: 3 | TM: 23 | TR: 29 | Total: 55","TR: 37 | QA: 1 | RB: 2 | TM: 15 | Total: 55","TR: 42 | RB: 3 | TM: 23 | Total: 68","RB: 3 | TM: 23 | TR: 29 | Total: 55"
"RU14","FP, RB, TM, TR, PA, PT",162,"2011, 2013, 2014, 2015, 2016, 2012, 2017, 2018",8,"4 : FP | 12 : TR","4 : RB | 12 : TR","2 : RB | 12 : TR","4 : RB | 14 : TR","4 : RB | 10 : TM | 14 : TR","12 : TM | 12 : TR","1 : FP | 12 : PA | 1 : PT | 2 : RB | 8 : TM | 11 : TR","1 : RB | 10 : TR","RB: 7 | TM: 30 | TR: 47 | FP: 1 | PA: 12 | PT: 1 | Total: 98","FP: 4 | TR: 76 | RB: 14 | TM: 22 | Total: 116","RB: 13 | TR: 73 | TM: 30 | FP: 1 | PA: 12 | PT: 1 | Total: 130","RB: 7 | TM: 30 | TR: 47 | FP: 1 | PA: 12 | PT: 1 | Total: 98"
"RU15","AW, RB, TM",74,"2014, 2012, 2013, 2015, 2016, 2017",6,NA,"4 : RB","2 : RB","14 : AW","6 : RB","6 : RB","6 : RB | 36 : TM",NA,"RB: 18 | TM: 36 | Total: 54","RB: 18 | AW: 14 | Total: 32","RB: 20 | AW: 14 | TM: 36 | Total: 70","RB: 18 | TM: 36 | Total: 54"
"RU16","TR, RL, AW, RB",445,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"50 : RL | 6 : TR","58 : RL | 6 : TR","58 : RL","59 : RL","50 : RL","45 : RL","12 : AW | 2 : RB | 49 : RL","1 : RB | 49 : RL","RL: 193 | AW: 12 | RB: 3 | Total: 208","RL: 320 | TR: 12 | Total: 332","RL: 310 | AW: 12 | RB: 3 | Total: 325","RL: 193 | AW: 12 | RB: 3 | Total: 208"
"RU17","TR, QA, AW, RB",28,"2011, 2012, 2017, 2018",4,"6 : TR","1 : QA | 5 : TR",NA,NA,NA,NA,"12 : AW | 2 : RB","2 : RB","AW: 12 | RB: 4 | Total: 16","TR: 11 | QA: 1 | Total: 12","AW: 12 | RB: 4 | Total: 16","AW: 12 | RB: 4 | Total: 16"
"RU18","RL",4416,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"589 : RL","561 : RL","564 : RL","593 : RL","498 : RL","505 : RL","520 : RL","586 : RL","RL: 2109 | Total: 2109","RL: 3310 | Total: 3310","RL: 3266 | Total: 3266","RL: 2109 | Total: 2109"
"RU19","RL, AW, TM, RB",1724,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"217 : RL","261 : RL","274 : RL","224 : RL","189 : RL","2 : AW | 201 : RL","2 : RB | 174 : RL | 6 : TM","1 : RB | 168 : RL | 5 : TM","RL: 732 | AW: 2 | RB: 3 | TM: 11 | Total: 748","RL: 1366 | AW: 2 | Total: 1368","RL: 1230 | AW: 2 | RB: 3 | TM: 11 | Total: 1246","RL: 732 | AW: 2 | RB: 3 | TM: 11 | Total: 748"
"RU20","TR, RB, FP, TM",54,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"4 : RB | 6 : TR","6 : TR","6 : TR","6 : TR","2 : FP | 6 : TR","6 : TR","6 : TR","1 : TM | 5 : TR","FP: 2 | TR: 23 | TM: 1 | Total: 26","RB: 4 | TR: 36 | FP: 2 | Total: 42","TR: 35 | FP: 2 | TM: 1 | Total: 38","FP: 2 | TR: 23 | TM: 1 | Total: 26"
"RU21","TR, PA, RB, QA",61,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"6 : TR","6 : TR","6 : TR","6 : TR","2 : RB | 6 : TR","12 : PA | 6 : TR","6 : TR","1 : QA | 4 : TR","RB: 2 | TR: 22 | PA: 12 | QA: 1 | Total: 37","TR: 36 | RB: 2 | PA: 12 | Total: 50","TR: 34 | RB: 2 | PA: 12 | QA: 1 | Total: 49","RB: 2 | TR: 22 | PA: 12 | QA: 1 | Total: 37"
"RU22","TM, RB, TR, QA",270,"2011, 2012, 2013, 2014, 2015, 2016, 2018, 2017",8,"12 : RB | 6 : TM | 30 : TR","1 : QA | 2 : RB | 6 : TM | 29 : TR","30 : TR","2 : RB | 30 : TR","2 : RB | 30 : TR","30 : TR","30 : TR","1 : QA | 3 : RB | 1 : TM | 25 : TR","RB: 5 | TR: 115 | QA: 1 | TM: 1 | Total: 122","RB: 18 | TM: 12 | TR: 179 | QA: 1 | Total: 210","TR: 175 | RB: 7 | QA: 1 | TM: 1 | Total: 184","RB: 5 | TR: 115 | QA: 1 | TM: 1 | Total: 122"
"RU23","RB, TR, AW, QA, PA, FP",85,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"9 : AW | 3 : QA | 2 : RB | 6 : TR","11 : AW | 1 : QA | 6 : TR","6 : TR","3 : FP | 6 : PA | 6 : TR","6 : TR","7 : TR","6 : TR","2 : RB | 5 : TR","TR: 24 | RB: 2 | Total: 26","AW: 20 | QA: 4 | RB: 2 | TR: 37 | FP: 3 | PA: 6 | Total: 72","TR: 36 | FP: 3 | PA: 6 | RB: 2 | Total: 47","TR: 24 | RB: 2 | Total: 26"
"RU24","RL, TR, RB",1952,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"259 : RL | 6 : TR","287 : RL | 6 : TR","248 : RL | 6 : TR","262 : RL | 6 : TR","186 : RL | 6 : TR","225 : RL | 6 : TR","2 : RB | 252 : RL | 6 : TR","2 : RB | 182 : RL | 5 : TR","RL: 845 | TR: 23 | RB: 4 | Total: 872","RL: 1467 | TR: 36 | Total: 1503","RL: 1355 | TR: 35 | RB: 4 | Total: 1394","RL: 845 | TR: 23 | RB: 4 | Total: 872"
"RU25","RL, TR, RB, TM",923,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"102 : RL | 6 : TR","100 : RL | 6 : TR","120 : RL | 6 : TR","123 : RL | 6 : TR","2 : RB | 93 : RL | 6 : TR","106 : RL | 8 : TM | 6 : TR","2 : RB | 124 : RL | 8 : TM | 6 : TR","1 : RB | 87 : RL | 5 : TR","RB: 5 | RL: 410 | TR: 23 | TM: 16 | Total: 454","RL: 644 | TR: 36 | RB: 2 | TM: 8 | Total: 690","RL: 653 | TR: 35 | RB: 5 | TM: 16 | Total: 709","RB: 5 | RL: 410 | TR: 23 | TM: 16 | Total: 454"
"RU26","RL",4745,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"661 : RL","657 : RL","693 : RL","644 : RL","467 : RL","519 : RL","643 : RL","461 : RL","RL: 2090 | Total: 2090","RL: 3641 | Total: 3641","RL: 3427 | Total: 3427","RL: 2090 | Total: 2090"
"RU27","RL, AW, TM",6679,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"843 : RL","902 : RL","1015 : RL","930 : RL","791 : RL","12 : AW | 738 : RL","700 : RL","738 : RL | 10 : TM","RL: 2967 | AW: 12 | TM: 10 | Total: 2989","RL: 5219 | AW: 12 | Total: 5231","RL: 4912 | AW: 12 | TM: 10 | Total: 4934","RL: 2967 | AW: 12 | TM: 10 | Total: 2989"
"RU28","AW",12,"2013",1,NA,NA,"12 : AW",NA,NA,NA,NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"RU29","FP, RB, TM, PA, QA, IM",129,"2011, 2015, 2016, 2013, 2014, 2017, 2018",7,"4 : FP",NA,"3 : FP | 12 : PA | 1 : RB | 18 : TM","10 : PA | 2 : QA | 2 : RB | 18 : TM","12 : IM | 2 : RB | 1 : TM","7 : IM | 1 : RB","12 : IM | 2 : RB | 6 : TM","9 : IM | 1 : QA | 1 : RB | 5 : TM","IM: 40 | RB: 6 | TM: 12 | QA: 1 | Total: 59","FP: 7 | PA: 22 | RB: 6 | TM: 37 | QA: 2 | IM: 19 | Total: 93","FP: 3 | PA: 22 | RB: 9 | TM: 48 | QA: 3 | IM: 40 | Total: 125","IM: 40 | RB: 6 | TM: 12 | QA: 1 | Total: 59"
"RU30","TR",47,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","5 : TR","TR: 23 | Total: 23","TR: 36 | Total: 36","TR: 35 | Total: 35","TR: 23 | Total: 23"
"RU31","AW, TM, QA, PA, FP, RB",45,"2011, 2012, 2013, 2014, 2017, 2018",6,"6 : AW | 4 : FP","6 : AW","1 : QA | 5 : TM","11 : PA | 1 : QA | 6 : TM",NA,NA,"2 : RB","2 : FP | 1 : RB","RB: 3 | FP: 2 | Total: 5","AW: 12 | FP: 4 | QA: 2 | TM: 11 | PA: 11 | Total: 40","QA: 2 | TM: 11 | PA: 11 | RB: 3 | FP: 2 | Total: 29","RB: 3 | FP: 2 | Total: 5"
"RU32","AW, QA, IM",36,"2014, 2015, 2016, 2017, 2018",5,NA,NA,NA,"12 : AW | 1 : QA","6 : IM","6 : IM","6 : IM","5 : IM","IM: 23 | Total: 23","AW: 12 | QA: 1 | IM: 12 | Total: 25","AW: 12 | QA: 1 | IM: 23 | Total: 36","IM: 23 | Total: 23"
"RU33","AW, QA",10,"2018",1,NA,NA,NA,NA,NA,NA,NA,"9 : AW | 1 : QA","AW: 9 | QA: 1 | Total: 10",NA,"AW: 9 | QA: 1 | Total: 10","AW: 9 | QA: 1 | Total: 10"
"RU34","AW, RB, FP",17,"2015, 2013, 2012",3,NA,"3 : FP","2 : RB",NA,"12 : AW",NA,NA,NA,"AW: 12 | Total: 12","FP: 3 | RB: 2 | AW: 12 | Total: 17","RB: 2 | AW: 12 | Total: 14","AW: 12 | Total: 12"
"RU35","RB, TM, TR",80,"2013, 2014, 2011, 2012, 2015, 2016, 2017, 2018",8,"6 : TR","6 : TR","2 : RB | 6 : TR","2 : RB | 13 : TM | 6 : TR","6 : TR","7 : TR","2 : RB | 6 : TM | 6 : TR","2 : RB | 5 : TM | 5 : TR","TR: 24 | RB: 4 | TM: 11 | Total: 39","TR: 37 | RB: 4 | TM: 13 | Total: 54","RB: 8 | TR: 36 | TM: 24 | Total: 68","TR: 24 | RB: 4 | TM: 11 | Total: 39"
"RU36","TM, IM, FP, TR",76,"2013, 2014, 2015, 2016, 2012, 2017, 2018",7,NA,"3 : FP","12 : TM","14 : TM","12 : IM","12 : IM","12 : TR","2 : FP | 9 : TR","IM: 24 | TR: 21 | FP: 2 | Total: 47","FP: 3 | TM: 26 | IM: 24 | Total: 53","TM: 26 | IM: 24 | TR: 21 | FP: 2 | Total: 73","IM: 24 | TR: 21 | FP: 2 | Total: 47"
"RU37","RB, TM, AW, QA, IM, TR",118,"2013, 2011, 2014, 2012, 2015, 2016, 2017, 2018",8,"5 : AW | 1 : QA | 2 : RB | 6 : TR","5 : AW | 1 : QA | 6 : TR","4 : RB | 6 : TM | 6 : TR","2 : RB | 21 : TM | 6 : TR","6 : IM | 6 : TR","6 : IM | 6 : TR","2 : RB | 6 : TR","5 : IM | 2 : RB | 3 : TM | 5 : TR","IM: 17 | TR: 23 | RB: 4 | TM: 3 | Total: 47","AW: 10 | QA: 2 | RB: 8 | TR: 36 | TM: 27 | IM: 12 | Total: 95","RB: 10 | TM: 30 | TR: 35 | IM: 17 | Total: 92","IM: 17 | TR: 23 | RB: 4 | TM: 3 | Total: 47"
"RU38","AW, TM, RL, FP, PA, IM",1065,"2013, 2014, 2011, 2015, 2016, 2018, 2017",7,"261 : RL",NA,"12 : AW | 218 : RL","6 : TM","198 : RL","2 : FP | 12 : PA","188 : RL","5 : IM | 163 : RL","RL: 549 | FP: 2 | PA: 12 | IM: 5 | Total: 568","RL: 677 | AW: 12 | TM: 6 | FP: 2 | PA: 12 | Total: 709","AW: 12 | RL: 767 | TM: 6 | FP: 2 | PA: 12 | IM: 5 | Total: 804","RL: 549 | FP: 2 | PA: 12 | IM: 5 | Total: 568"
"RU39","RB, AW, QA, PA, FP, SS",60,"2013, 2011, 2012, 2014, 2016, 2018",6,"5 : AW | 1 : QA","5 : AW | 2 : FP | 1 : QA","2 : RB","6 : FP | 12 : PA",NA,"4 : FP",NA,"10 : AW | 2 : FP | 10 : SS","FP: 6 | AW: 10 | SS: 10 | Total: 26","AW: 10 | QA: 2 | FP: 12 | RB: 2 | PA: 12 | Total: 38","RB: 2 | FP: 12 | PA: 12 | AW: 10 | SS: 10 | Total: 46","FP: 6 | AW: 10 | SS: 10 | Total: 26"
"RU40","TM, RB, IM, FP",25,"2015, 2016, 2012, 2017",4,NA,"3 : FP",NA,NA,"2 : RB | 6 : TM","6 : IM | 2 : TM","6 : TM",NA,"RB: 2 | TM: 14 | IM: 6 | Total: 22","FP: 3 | RB: 2 | TM: 8 | IM: 6 | Total: 19","RB: 2 | TM: 14 | IM: 6 | Total: 22","RB: 2 | TM: 14 | IM: 6 | Total: 22"
"RU41","FP, PA, QA, TM, RB",37,"2016, 2015, 2017",3,NA,NA,NA,NA,"2 : RB | 6 : TM","3 : FP | 11 : PA | 1 : QA | 8 : TM","6 : TM",NA,"RB: 2 | TM: 20 | FP: 3 | PA: 11 | QA: 1 | Total: 37","RB: 2 | TM: 14 | FP: 3 | PA: 11 | QA: 1 | Total: 31","RB: 2 | TM: 20 | FP: 3 | PA: 11 | QA: 1 | Total: 37","RB: 2 | TM: 20 | FP: 3 | PA: 11 | QA: 1 | Total: 37"
"RU42","AW",12,"2015",1,NA,NA,NA,NA,"12 : AW",NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12"
"RU43","TR, PA",48,"2013, 2014, 2015, 2016, 2017, 2018",6,NA,NA,"7 : TR","12 : PA | 6 : TR","6 : TR","6 : TR","6 : TR","5 : TR","TR: 23 | Total: 23","TR: 25 | PA: 12 | Total: 37","TR: 36 | PA: 12 | Total: 48","TR: 23 | Total: 23"
"RU44","AW",12,"2015",1,NA,NA,NA,NA,"12 : AW",NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12"
"RU45","AW",12,"2011, 2012",2,"6 : AW","6 : AW",NA,NA,NA,NA,NA,NA,NA,"AW: 12 | Total: 12",NA,NA
"RU46","AW",12,"2014",1,NA,NA,NA,"12 : AW",NA,NA,NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"RU47","RB, AW, FP",16,"2016, 2011",2,"2 : FP",NA,NA,NA,NA,"12 : AW | 2 : RB",NA,NA,"AW: 12 | RB: 2 | Total: 14","FP: 2 | AW: 12 | RB: 2 | Total: 16","AW: 12 | RB: 2 | Total: 14","AW: 12 | RB: 2 | Total: 14"
"RU48","AW, RB, FP, TR, TM",132,"2011, 2012, 2015, 2014, 2013, 2016, 2017, 2018",8,"6 : AW | 1 : RB | 6 : TR","6 : AW | 2 : FP | 6 : RB | 6 : TR","6 : TR","3 : RB | 6 : TR","2 : FP | 3 : RB | 6 : TR","6 : TR","8 : RB | 48 : TM | 6 : TR","5 : TR","FP: 2 | RB: 11 | TR: 23 | TM: 48 | Total: 84","AW: 12 | RB: 13 | TR: 36 | FP: 4 | Total: 65","TR: 35 | RB: 14 | FP: 2 | TM: 48 | Total: 99","FP: 2 | RB: 11 | TR: 23 | TM: 48 | Total: 84"
"RU49","FP, TM, IM",32,"2011, 2012, 2013, 2014, 2015",5,"2 : FP | 6 : TM","6 : TM","6 : TM","6 : TM","6 : IM",NA,NA,NA,"IM: 6 | Total: 6","FP: 2 | TM: 24 | IM: 6 | Total: 32","TM: 12 | IM: 6 | Total: 18","IM: 6 | Total: 6"
"RU50","AW, TM, IM, RB, PA, FP",48,"2011, 2012, 2013, 2014, 2015",5,"6 : AW","6 : AW","2 : RB | 6 : TM","7 : TM","3 : FP | 6 : IM | 12 : PA",NA,NA,NA,"FP: 3 | IM: 6 | PA: 12 | Total: 21","AW: 12 | RB: 2 | TM: 13 | FP: 3 | IM: 6 | PA: 12 | Total: 48","RB: 2 | TM: 13 | FP: 3 | IM: 6 | PA: 12 | Total: 36","FP: 3 | IM: 6 | PA: 12 | Total: 21"
"RU51","TM, IM",24,"2013, 2014, 2015, 2016",4,NA,NA,"6 : TM","6 : TM","6 : IM","6 : IM",NA,NA,"IM: 12 | Total: 12","TM: 12 | IM: 12 | Total: 24","TM: 12 | IM: 12 | Total: 24","IM: 12 | Total: 12"
"RU52","AW, QA",24,"2011, 2012, 2017",3,"6 : AW","6 : AW",NA,NA,NA,NA,"11 : AW | 1 : QA",NA,"AW: 11 | QA: 1 | Total: 12","AW: 12 | Total: 12","AW: 11 | QA: 1 | Total: 12","AW: 11 | QA: 1 | Total: 12"
"RU53","TM, QA, IM, RB",52,"2011, 2012, 2013, 2014, 2015, 2016",6,"1 : QA | 2 : RB | 11 : TM","2 : RB | 12 : TM","1 : QA | 5 : TM","6 : TM","5 : IM | 1 : QA","6 : IM",NA,NA,"IM: 11 | QA: 1 | Total: 12","QA: 3 | RB: 4 | TM: 34 | IM: 11 | Total: 52","QA: 2 | TM: 11 | IM: 11 | Total: 24","IM: 11 | QA: 1 | Total: 12"
"RU54","RB, TM, FP, TR",85,"2011, 2012, 2014, 2013, 2015, 2016, 2017, 2018",8,"4 : FP | 6 : RB | 6 : TM | 6 : TR","3 : FP | 6 : RB | 6 : TM | 6 : TR","6 : TR","13 : TM","6 : TR","6 : TR","6 : TR","5 : TR","TR: 23 | Total: 23","FP: 7 | RB: 12 | TM: 25 | TR: 30 | Total: 74","TR: 29 | TM: 13 | Total: 42","TR: 23 | Total: 23"
"RU55","TM, QA, IM, PA, FP",38,"2013, 2014, 2015, 2016",4,NA,NA,"1 : QA | 5 : TM","6 : TM","6 : IM","2 : FP | 6 : IM | 12 : PA",NA,NA,"IM: 12 | FP: 2 | PA: 12 | Total: 26","QA: 1 | TM: 11 | IM: 12 | FP: 2 | PA: 12 | Total: 38","QA: 1 | TM: 11 | IM: 12 | FP: 2 | PA: 12 | Total: 38","IM: 12 | FP: 2 | PA: 12 | Total: 26"
"RU56","TM, RB, FP",33,"2011, 2012, 2013, 2014, 2016",5,"6 : TM","2 : FP | 1 : RB | 8 : TM","6 : TM","2 : RB | 6 : TM",NA,"2 : RB",NA,NA,"RB: 2 | Total: 2","TM: 26 | FP: 2 | RB: 5 | Total: 33","TM: 12 | RB: 4 | Total: 16","RB: 2 | Total: 2"
"RU57","AW",12,"2013",1,NA,NA,"12 : AW",NA,NA,NA,NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"RU58","RB, AW",21,"2011, 2012, 2014",3,"1 : RB","4 : RB",NA,"12 : AW | 4 : RB",NA,NA,NA,NA,NA,"RB: 9 | AW: 12 | Total: 21","AW: 12 | RB: 4 | Total: 16",NA
"RU59","TR, FP, RB",55,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"2 : RB | 6 : TR","2 : RB | 6 : TR","2 : FP | 6 : TR","2 : RB | 6 : TR","6 : TR","6 : TR","6 : TR","5 : TR","TR: 23 | Total: 23","RB: 6 | TR: 36 | FP: 2 | Total: 44","FP: 2 | TR: 35 | RB: 2 | Total: 39","TR: 23 | Total: 23"
"RU60","FP, AW",13,"2012, 2015",2,NA,"1 : FP",NA,NA,"12 : AW",NA,NA,NA,"AW: 12 | Total: 12","FP: 1 | AW: 12 | Total: 13","AW: 12 | Total: 12","AW: 12 | Total: 12"
"RU61","RB",4,"2011, 2017",2,"2 : RB",NA,NA,NA,NA,NA,"2 : RB",NA,"RB: 2 | Total: 2","RB: 2 | Total: 2","RB: 2 | Total: 2","RB: 2 | Total: 2"
"RU62","AW",12,"2016",1,NA,NA,NA,NA,NA,"12 : AW",NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12"
"RU63","AW",12,"2015",1,NA,NA,NA,NA,"12 : AW",NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12"
"RU64","TR, RB",54,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",8,"1 : RB | 6 : TR","2 : RB | 6 : TR","6 : TR","2 : RB | 6 : TR","6 : TR","6 : TR","2 : RB | 6 : TR","5 : TR","TR: 23 | RB: 2 | Total: 25","RB: 5 | TR: 36 | Total: 41","TR: 35 | RB: 4 | Total: 39","TR: 23 | RB: 2 | Total: 25"
"RU65","AW",12,"2014",1,NA,NA,NA,"12 : AW",NA,NA,NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"RU66","TM, AW",23,"2011, 2012, 2017, 2018",4,"6 : TM","6 : TM",NA,NA,NA,NA,"6 : AW","5 : AW","AW: 11 | Total: 11","TM: 12 | Total: 12","AW: 11 | Total: 11","AW: 11 | Total: 11"
"RU67","IM, PA",27,"2015, 2017, 2018",3,NA,NA,NA,NA,"6 : IM",NA,"6 : IM","5 : IM | 10 : PA","IM: 17 | PA: 10 | Total: 27","IM: 6 | Total: 6","IM: 17 | PA: 10 | Total: 27","IM: 17 | PA: 10 | Total: 27"
