"","FDT_STA_ID","Year","Sample n","SPG codes","SPG codes First","IR2022 Sample n","IR2024 Sample n","IR2026 Sample n","IR2028 Sample n","IR24Temp","IR24pH","IR24DO","IR24SpC","IR26Temp","IR26pH","IR26DO","IR26SpC","IR28Temp","IR28pH","IR28DO","IR28SpC","flag"
"475","9-PKC004.16",2022,24,"RL","RL",NA,94,94,94,65.9574468085106,65.9574468085106,65.9574468085106,32.9787234042553,65.9574468085106,65.9574468085106,65.9574468085106,65.9574468085106,65.9574468085106,65.9574468085106,65.9574468085106,65.9574468085106,"FLAG"
"476","9-PKC007.80",2021,12,"TR","TR",NA,20,20,20,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"477","9-PKC007.80",2022,8,"TR | FP","TR",NA,20,20,20,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"478","9-PKC009.29",2022,2,"RB","RB",NA,2,2,2,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"479","9-PKC011.11",2022,2,"RB","RB",NA,2,2,2,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"480","9-PLM000.60",2021,12,"TM","TM",NA,12,12,12,100,100,83.3333333333333,50,100,100,100,100,100,100,100,100,"FLAG"
"481","9-PTY001.72",2021,2,"RB","RB",NA,2,2,2,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"482","9-RHC001.17",2021,4,"RB","RB",NA,4,4,4,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"483","9-SNK012.06",2021,12,"TM","TM",NA,12,12,12,100,100,83.3333333333333,50,100,100,100,100,100,100,100,100,"FLAG"
"484","9-STE002.41",2021,12,"TR","TR",NA,18,18,18,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"485","9-STE002.41",2022,6,"TR","TR",NA,18,18,18,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"486","9-TOM011.83",2021,12,"TM","TM",NA,12,12,12,100,100,66.6666666666667,50,100,100,100,100,100,100,100,100,"FLAG"
"487","9-WFC000.20",2021,28,"TR | AW","TR",NA,34,34,34,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"488","9-WFC000.20",2022,6,"TR","TR",NA,34,34,34,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"489","9-WLK004.34",2021,12,"TR","TR",NA,18,18,18,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"490","9-WLK004.34",2022,6,"TR","TR",NA,18,18,18,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"491","9-WLT000.14",2022,2,"FP","FP",NA,2,2,2,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"492","9-XFZ000.08",2022,2,"FP","FP",NA,2,2,2,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
