"Huc6_Vahu6","FDT_SPG_CODE","nObservations","yearsSampled","nYearsSampled","n_Samples_2013","n_Samples_2014","n_Samples_2015","n_Samples_2016","n_Samples_2017","n_Samples_2018","n_Samples_2019","n_Samples_2016_2019","n_Samples_IR2020","n_Samples_IR2022","n_Samples_IR2024"
"RD52","AW, PA, FP",26,"2013, 2017",2,"12 : AW",NA,NA,NA,"2 : FP | 12 : PA",NA,NA,"FP: 2 | PA: 12 | Total: 14","AW: 12 | FP: 2 | PA: 12 | Total: 26","FP: 2 | PA: 12 | Total: 14","FP: 2 | PA: 12 | Total: 14"
"RD53","RB, PA, FP",17,"2014, 2015, 2019",3,NA,"2 : RB","2 : FP | 12 : PA",NA,NA,NA,"1 : RB","RB: 1 | Total: 1","RB: 2 | FP: 2 | PA: 12 | Total: 16","FP: 2 | PA: 12 | RB: 1 | Total: 15","RB: 1 | Total: 1"
"RD54","AW",12,"2015",1,NA,NA,"12 : AW",NA,NA,NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"RD55","AW, QA, RL, RB",178,"2017, 2018, 2016, 2019",4,NA,NA,NA,"2 : RB","6 : AW | 2 : QA | 2 : RB | 73 : RL","5 : AW | 2 : QA | 84 : RL","2 : RB","RB: 6 | AW: 11 | QA: 4 | RL: 157 | Total: 178","RB: 4 | AW: 11 | QA: 4 | RL: 157 | Total: 176","RB: 6 | AW: 11 | QA: 4 | RL: 157 | Total: 178","AW: 11 | QA: 4 | RB: 4 | RL: 157 | Total: 176"
"RD56","FP, RB, PA, QA, AW",31,"2017, 2013, 2014, 2016",4,"3 : RB","12 : AW",NA,"2 : RB","2 : FP | 11 : PA | 1 : QA",NA,NA,"RB: 2 | FP: 2 | PA: 11 | QA: 1 | Total: 16","RB: 5 | AW: 12 | FP: 2 | PA: 11 | QA: 1 | Total: 31","RB: 2 | FP: 2 | PA: 11 | QA: 1 | Total: 16","FP: 2 | PA: 11 | QA: 1 | Total: 14"
"RD57","RB, AW, PA, FP",24,"2013, 2016, 2019",3,"4 : RB",NA,NA,"12 : AW | 4 : RB",NA,NA,"2 : FP | 1 : PA | 1 : RB","AW: 12 | RB: 5 | FP: 2 | PA: 1 | Total: 20","RB: 8 | AW: 12 | Total: 20","AW: 12 | RB: 5 | FP: 2 | PA: 1 | Total: 20","FP: 2 | PA: 1 | RB: 1 | Total: 4"
"RD58","PA, FP, AW, RB",25,"2013, 2019",2,"1 : FP | 12 : PA",NA,NA,NA,NA,NA,"10 : AW | 2 : RB","AW: 10 | RB: 2 | Total: 12","FP: 1 | PA: 12 | Total: 13","AW: 10 | RB: 2 | Total: 12","AW: 10 | RB: 2 | Total: 12"
"RD59","RB, AW, FP, PA",19,"2016, 2014, 2019",3,NA,"12 : AW",NA,"2 : RB",NA,NA,"2 : FP | 1 : PA | 2 : RB","RB: 4 | FP: 2 | PA: 1 | Total: 7","AW: 12 | RB: 2 | Total: 14","RB: 4 | FP: 2 | PA: 1 | Total: 7","FP: 2 | PA: 1 | RB: 2 | Total: 5"
"RD60","TR, RB",42,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","1 : RB | 6 : TR","5 : TR","TR: 23 | RB: 1 | Total: 24","TR: 36 | RB: 1 | Total: 37","TR: 29 | RB: 1 | Total: 30","TR: 17 | RB: 1 | Total: 18"
"RD61","AW, RB",14,"2013, 2015",2,"12 : AW",NA,"2 : RB",NA,NA,NA,NA,NA,"AW: 12 | RB: 2 | Total: 14","RB: 2 | Total: 2",NA
